blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2708014,Middle Market Choice,36,0.29,0,5550,0,10,0,4,$138000.00,82.3
1902003,Distressed,36,1.05,20.42,5640,0,10,21,7,$19833.00,34.4
1307004,Regional Choice,36,0.4,4.49,10371.43,1,6,1,3,$177500.00,36
1306002,Middle Market Choice,36,0.37,3.97,12833.33,1,1,1,4,$146750.00,61.8
2502054,Middle Market Stressed,35,0.73,29.89,2022.73,0,8,2,8,$55000.00,56.6
2714001,Regional Choice,35,0.47,2.76,2170.37,1,3,0,1,$475000.00,70
2712003,Regional Choice,35,0.38,9.18,2806.67,0,2,0,2,$365000.00,86
702002,Distressed,35,0.63,0,13350,0,0,8,11,$25000.00,39
1608022,Distressed,34,0.95,9.74,5300,0,12,9,7,$29500.00,59
2101003,Middle Market Stressed,34,0.72,0.67,673.17,0,12,4,7,$61000.00,53.3
1203002,Middle Market Stressed,34,0.96,25.96,11466.67,1,1,10,4,$52250.00,41.4
2501032,Middle Market Choice,34,0.28,22.61,1190,0,5,0,4,$128750.00,88.8
1207002,Middle Market Stressed,34,0.67,3.11,7160,0,2,7,7,$67450.00,47.1
1207003,Middle Market Stressed,33,0.69,1.01,1255.56,0,7,2,4,$55000.00,53.2
2708031,Middle Market Choice,33,0.38,57.49,2490.7,0,1,0,4,$116900.00,56
1306001,Middle Market Choice,33,0.4,29.13,7783.33,0,5,0,2,$158000.00,58.5
102004,Middle Market Choice,33,0.48,0,5016.67,1,0,1,7,$143250.00,69.2
102002,Regional Choice,32,0.46,0,14100,0,0,2,5,$199694.00,77.2
2504021,Middle Market Stressed,32,0.61,9.38,8057.14,0,3,6,6,$67000.00,32.9
1607002,Distressed,32,0.84,0,7275,0,3,9,7,$27500.00,51
2611002,Regional Choice,32,0.35,0,11133.33,0,0,0,4,$292000.00,70.2
2708011,Middle Market Choice,32,0.38,10.16,6983.33,0,2,0,4,$124750.00,70.3
2101001,Middle Market Choice,32,0.54,2.2,4766.67,1,9,1,4,$154968.00,66
907001,Distressed,32,0.89,39.28,6600,0,6,15,8,$26250.00,42.9
1308033,Middle Market Choice,32,0.35,1145.81,5825,0,7,0,3,$172000.00,80.4
2602023,Middle Market,32,0.43,37.4,5090.91,0,1,0,6,$92750.00,78.8
2709023,Middle Market Choice,32,0.4,30761.43,5200,0,0,0,4,$127450.00,89.3
2403003,Regional Choice,32,0.4,11.65,15350,1,0,0,3,$247500.00,69.1
1502002,Distressed,32,0.86,0,6933.33,3,17,22,2,$24379.00,30.5
2503011,Distressed,31,0.81,4.14,461.54,1,17,13,5,$27500.00,47.5
801013,Middle Market Stressed,31,0.5,2.87,7720,0,0,1,6,$57500.00,61.6
702003,Distressed,31,0.79,0,12900,0,0,21,10,$28000.00,26.3
2611003,Regional Choice,31,0.4,0,12900,5,3,0,2,$275000.00,72.7
2708033,Middle Market Choice,31,0.39,1.04,3771.43,0,0,0,5,$133000.00,66.6
2610002,Distressed,31,0.47,1.36,6175,0,1,4,8,$34900.00,27.1
2003004,Distressed,30,1.03,10.05,7500,0,13,22,9,$18390.00,28.5
1608024,Distressed,30,0.8,0,8600,0,5,4,8,$34000.00,56.5
2605011,Middle Market,30,0.3,0.17,1366.67,0,1,0,2,$100550.00,53.5
2008001,Middle Market Stressed,30,0.66,2.82,1457.14,0,8,6,9,$52725.00,40.9
2403002,Regional Choice,30,0.48,25.64,18450,1,2,1,3,$297500.00,67.7
2707032,Middle Market Choice,30,0.41,9.75,3038.46,0,1,0,5,$148500.00,80.9
2403001,Regional Choice,30,0.4,5.1,13500,1,2,0,3,$249450.00,45.5
2709021,Middle Market,30,0.39,0,2576.19,0,0,0,4,$105342.00,90
2505002,Middle Market Stressed,30,0.75,5.71,2100,0,10,2,5,$58750.00,47.5
2504023,Middle Market Stressed,30,0.72,51.76,4663.64,0,4,4,4,$55354.00,43.2
2502062,Middle Market,30,0.56,39.44,1173.33,0,10,1,7,$83975.00,81.7
2610003,Middle Market Stressed,29,0.71,0,12200,0,0,3,9,$57750.00,35.5
2603014,Middle Market Stressed,29,0.45,10.68,9366.67,0,0,1,13,$53000.00,56.7
1202002,Regional Choice,29,0.47,1.94,6885.71,0,1,0,1,$188000.00,58.2
1306003,Middle Market Choice,29,0.41,3.42,7016.67,0,4,0,4,$158000.00,64.4
2601024,Middle Market Choice,29,0.42,16.23,3208.33,0,5,0,6,$115000.00,84.3
105001,Regional Choice,29,0.56,39.36,16000,2,2,1,2,$225000.00,41.8
906004,Middle Market Stressed,29,0.66,14.76,6560,0,0,3,8,$44000.00,68
1903003,Distressed,29,0.96,21.73,7400,0,10,33,7,$17587.00,33.1
2604042,Distressed,29,0.91,2102.93,260,0,11,3,5,$30000.00,45.9
701001,Distressed,29,0.59,755.95,5171.43,0,0,7,5,$23000.00,44.5
702004,Distressed,29,1.22,3.03,7700,1,13,18,9,$20000.00,33.2
803013,Distressed,29,0.87,0,6866.67,0,2,11,7,$16000.00,47.8
702005,Distressed,29,0.95,75.93,9900,0,0,21,5,$22000.00,33.4
2705013,Middle Market Choice,29,0.33,28.34,2788.24,0,3,0,3,$155000.00,87.2
2705022,Middle Market Choice,29,0.38,71.64,3500,0,1,0,6,$143500.00,68.3
2005004,Distressed,28,0.73,5.12,2718.18,0,3,7,4,$29400.00,47.9
2606052,Middle Market,28,0.5,4.65,3970.59,1,10,0,4,$70250.00,59.4
2606051,Middle Market Choice,28,0.44,0,2893.75,1,18,1,4,$120390.00,84.9
1507021,Middle Market Stressed,28,0.58,0,7366.67,0,1,3,5,$63085.00,72.5
2701022,Middle Market,28,0.63,14.97,3850,2,1,2,9,$74950.00,69.9
901001,Middle Market Stressed,28,0.73,23.79,7283.33,0,6,1,7,$43000.00,50.3
1201001,Regional Choice,28,0.77,1792.42,2514.29,1,2,1,2,$435000.00,85.2
601004,Middle Market Stressed,28,0.64,12.94,9700,0,0,10,6,$51125.00,41.5
1512001,Distressed,28,0.76,19.99,7790,1,3,9,4,$37750.00,29.3
1509001,Distressed,27,0.95,11.18,4857.14,0,10,7,6,$33200.00,60.9
1504004,Distressed,27,1.16,184.61,8650,0,4,36,5,$16500.00,34.4
1503002,Distressed,27,0.81,0,5760,0,2,6,5,$35000.00,62.7
1502005,Distressed,27,0.88,0,10700,0,2,19,7,$24080.00,38.6
2712002,Regional Choice,27,0.45,4.59,3347.06,0,6,0,4,$262500.00,55.7
801014,Middle Market Stressed,27,0.52,8250.25,9050,0,7,2,7,$45000.00,71.1
805001,Distressed,27,0.72,6.98,4250,0,7,20,4,$20000.00,49.9
2501033,Middle Market Choice,27,0.42,10.47,2306.67,0,6,1,8,$138900.00,82.3
2404003,Middle Market Choice,27,0.52,3.53,4250,1,1,1,3,$171000.00,70.5
1303002,Distressed,27,1.06,9.09,5675,0,10,25,7,$18000.00,32.3
1304003,Distressed,27,0.88,6.2,5920,0,1,14,5,$25000.00,43.7
2712005,Regional Choice,26,0.36,9.21,1386.36,0,4,0,1,$544500.00,96.5
803015,Distressed,26,1.03,0,7250,0,10,30,5,$8228.00,43.5
2706001,Middle Market Choice,26,0.5,12.12,3058.33,0,4,0,8,$130270.00,81.6
2602031,Middle Market Choice,26,0.44,12.89,2820,0,5,0,4,$108500.00,57.1
2603013,Middle Market Stressed,26,0.52,0,7550,0,6,2,6,$54311.00,56.4
2603015,Middle Market Stressed,26,0.59,3.42,5533.33,0,0,1,9,$49050.00,62.5
2804033,Regional Choice,26,0.31,0,5231.25,0,7,0,4,$189500.00,43.5
908001,Distressed,26,0.91,0.35,1575,1,9,15,5,$20000.00,43.3
2605013,Middle Market,26,0.41,7.01,10660,0,0,0,4,$91500.00,51.3
1604005,Distressed,26,0.81,176.37,6066.67,0,7,42,3,$15000.00,42
2718011,Distressed,26,0.94,2.78,4137.5,0,6,15,7,$23000.00,39.1
1203004,Middle Market Stressed,26,1.05,3.65,7514.29,0,6,10,6,$42500.00,27.3
1509004,Middle Market Stressed,26,0.76,0,1145.16,0,10,5,7,$63750.00,62.5
2718013,Middle Market Stressed,25,0.67,1.68,5733.33,0,6,4,5,$44900.00,63.3
2602013,Middle Market Stressed,25,0.58,25.36,3170,0,6,1,10,$66500.00,64.5
808004,Distressed,25,1.17,1401.88,3700,4,10,47,0,$27775.00,44.9
2007022,Distressed,25,0.66,29.01,6300,0,7,6,8,$38500.00,72.4
2006003,Middle Market Stressed,25,0.64,250.73,8625,0,5,5,6,$62900.00,69.6
2704021,Middle Market,25,0.49,0,2988.89,0,1,0,9,$103500.00,85.3
2005005,Distressed,25,1.06,2.55,7775,0,13,14,6,$15000.00,23.6
