blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2602032,Middle Market,18,0.4,12.84,2628.57,0,4,1,4,$101000.00,77.7
807003,Distressed,18,0.96,0,5250,1,22,33,3,$27500.00,46.9
2005002,Distressed,18,0.92,0.5,3100,0,6,19,9,$15400.00,40.9
2703021,Middle Market Choice,18,0.49,9.37,3611.11,0,6,1,9,$126500.00,63
2804012,Middle Market Choice,18,0.41,0.94,1721.43,0,9,0,5,$201500.00,90
2801013,Middle Market,17,0.64,2.47,5075,0,0,0,2,$70000.00,79.4
2706003,Middle Market Choice,17,0.36,0,3128.57,0,5,0,8,$144500.00,80.2
803011,Distressed,17,0.82,0,6600,0,6,21,8,$14000.00,38.6
702001,Distressed,17,0.82,0,5666.67,0,8,29,4,$19900.00,52.6
2702001,Middle Market Choice,17,0.67,2,2411.11,0,4,0,2,$115000.00,78.7
801021,Middle Market Stressed,17,0.78,0.25,5733.33,0,2,4,10,$41000.00,52.7
1504002,Distressed,17,0.88,14.2,2600,0,7,4,3,$27500.00,45.7
2701021,Middle Market Choice,17,0.29,0,4557.14,0,1,0,3,$160000.00,88.1
1401001,Regional Choice,17,0.31,2,10771.43,2,2,0,2,$310000.00,22.9
806006,Distressed,17,0.57,1809.48,6366.67,0,15,32,3,$12500.00,51.1
1510007,Middle Market Stressed,17,0.84,0,3933.33,0,4,7,8,$50000.00,58.5
2709031,Middle Market,17,0.38,1.76,1925,0,4,0,5,$79900.00,69.9
2710021,Middle Market,17,0.49,34.43,3053.33,1,6,1,4,$95000.00,71.8
801022,Middle Market Stressed,17,0.58,4.74,2540,0,3,4,9,$41000.00,60.1
2601015,Middle Market Choice,17,0.38,8.64,2637.5,0,3,0,7,$138600.00,77.5
2503033,Middle Market Stressed,17,0.72,9.9,3188.89,0,31,2,4,$55000.00,45.1
1607007,Distressed,17,0.85,26.97,9600,0,4,14,8,$35000.00,33.4
2502053,Middle Market,17,0.34,0,6766.67,0,1,1,5,$72500.00,56.2
2719003,Middle Market,17,0.52,6.04,3250,0,4,1,6,$73000.00,50.3
2720033,Middle Market Choice,17,0.41,52.7,3714.29,1,1,1,4,$135000.00,62.6
2713002,Regional Choice,17,0.5,1.06,1583.33,1,5,0,2,$295000.00,56.6
2501021,Middle Market Stressed,17,0.53,1.67,2247.06,0,2,1,6,$62576.00,45.4
2201002,Regional Choice,17,0.31,2.96,8178.57,1,4,0,2,$350000.00,43.6
2719004,Middle Market Choice,17,0.58,5.3,2711.11,0,4,1,4,$120000.00,75
2007015,Middle Market Stressed,16,0.74,0,9600,0,2,3,6,$46000.00,41.3
2713003,Regional Choice,16,0.48,1.12,793.33,1,3,0,1,$427105.00,90.5
908005,Distressed,16,1.11,762.7,4433.33,1,27,26,6,$16375.00,47.6
1302001,Middle Market Choice,16,0.68,8.26,6440,0,2,10,6,$119250.00,36.6
802002,Distressed,16,1.76,8.93,5800,0,4,45,4,$7000.00,33.8
2503031,Middle Market Stressed,16,0.65,3.75,1023.08,0,32,2,4,$44450.00,71.1
2005003,Distressed,16,0.72,4174.07,9750,0,3,19,7,$22950.00,28.8
801011,Regional Choice,16,0.42,6.95,344.74,0,3,0,2,$228500.00,91.7
1605003,Distressed,16,0.83,2.97,5700,4,2,19,10,$23750.00,59.3
1307001,Regional Choice,16,0.42,0,9900,0,4,0,0,$266000.00,54.7
2601021,Middle Market,16,0.52,4.74,4270,0,2,0,3,$96800.00,85.1
2718025,Distressed,16,0.95,8.42,5075,0,5,16,3,$25000.00,52.3
903001,Middle Market Choice,16,0.35,0,4133.33,0,1,0,3,$147225.00,82
1307003,Regional Choice,16,0.48,0.89,3327.27,0,1,0,0,$216250.00,55.1
2604031,Middle Market,16,0.38,229.51,3853.33,0,4,0,6,$91000.00,30.2
2002002,Distressed,16,0.84,0,6700,0,1,25,4,$20500.00,41.4
1511003,Middle Market,16,0.45,34.37,3930,0,4,0,5,$87450.00,81.3
2606053,Middle Market,16,0.92,0.79,329.59,0,17,0,6,$110000.00,18.2
2607002,Middle Market,16,0.64,4.17,9700,0,3,1,2,$76500.00,51.9
1509003,Middle Market Choice,16,0.54,0,2333.33,0,7,2,5,$147500.00,70.3
2703011,Middle Market Choice,16,0.49,8.77,2966.67,0,2,0,3,$157250.00,59.8
703002,Distressed,16,0.73,3.05,3350,2,0,47,4,$20320.00,41.9
2707033,Middle Market Choice,16,0.35,0,2352.94,0,6,0,4,$173119.00,75.9
2707023,Middle Market Choice,16,0.45,6.46,2816.67,0,2,1,6,$131500.00,72.3
2706002,Middle Market,16,0.5,3.58,3045.45,0,4,1,6,$92500.00,67
2801011,Middle Market,16,0.27,2.32,5300,0,4,0,4,$102450.00,83
1503003,Distressed,16,0.84,0,3980,0,2,11,6,$35450.00,55.3
1803001,Middle Market Stressed,16,0.96,0.81,4783.33,0,19,6,7,$63353.00,19.3
2801024,Middle Market,16,0.51,32.51,6980,0,11,1,4,$96600.00,33.1
2718022,Distressed,16,0.8,31.21,3780,0,15,25,6,$16250.00,48.8
2602022,Middle Market,15,0.35,8.76,8176.47,0,5,0,6,$102251.00,10.5
2708012,Middle Market Choice,15,0.31,1.46,3940,0,1,0,3,$150000.00,80.3
1504001,Distressed,15,0.86,1.04,4500,0,5,9,5,$24900.00,40.9
1606002,Distressed,15,0.96,0,3325,0,8,20,5,$22500.00,58
1608014,Middle Market Stressed,15,0.64,15.96,4980,0,3,2,5,$49900.00,71.2
1902002,Distressed,15,0.65,601.48,7750,0,14,17,8,$19000.00,30.7
2007021,Distressed,15,0.84,2.77,2966.67,0,8,6,7,$28854.00,65.9
2008002,Middle Market,15,0.65,12.04,4400,0,3,5,6,$70000.00,59.3
302003,Regional Choice,15,0.48,0.72,10966.67,0,2,0,5,$185000.00,33.4
2504012,Middle Market Stressed,15,0.56,3.71,3320,0,4,1,3,$60000.00,65
1503001,Distressed,15,1.01,17.68,8833.33,0,2,13,8,$20522.00,58.5
1507012,Distressed,15,0.77,0,6900,0,13,3,4,$28149.00,64.4
2603011,Middle Market Stressed,15,0.59,0,6860,0,0,2,8,$50000.00,65.5
903003,Middle Market,15,0.46,4.47,5075,0,2,1,6,$95000.00,62.1
2603023,Middle Market,15,0.49,1221.05,6280,0,0,0,6,$105000.00,76.5
2710012,Middle Market Stressed,15,0.62,32.66,3112.5,0,27,2,4,$47250.00,58.9
2709022,Middle Market,15,0.38,1.83,2269.23,0,1,0,4,$96500.00,75
601001,Middle Market Stressed,15,0.78,4.63,6700,0,2,7,11,$50000.00,34.4
604001,Middle Market Stressed,15,0.8,2.81,8275,1,8,21,13,$55000.00,21.7
808001,Distressed,15,0.58,2.27,975,4,22,46,1,$28000.00,29.2
2708052,Middle Market,15,0.46,0,4144.44,0,2,0,4,$70000.00,77.1
2708051,Middle Market Choice,15,0.5,0,5137.5,0,0,0,3,$120000.00,87.6
2708044,Regional Choice,15,0.45,7.66,4857.14,0,2,0,2,$220000.00,41.9
2703014,Middle Market Choice,15,0.39,0,2793.75,0,3,0,3,$155000.00,83.7
2703022,Middle Market Choice,15,0.38,6.13,3066.67,0,2,1,5,$159000.00,71
1513003,Distressed,14,1,1.7,2775,0,6,19,6,$16450.00,48.1
906003,Middle Market Stressed,14,0.77,22.51,10200,0,0,6,5,$40350.00,59.5
2716006,Distressed,14,0.92,8.26,3400,0,22,24,9,$20500.00,36.7
2704022,Middle Market Choice,14,0.34,0,2375,0,4,0,6,$187200.00,75.9
1502004,Distressed,14,0.92,0,6900,0,2,9,6,$26000.00,57.6
2712001,Regional Choice,14,0.3,13.54,1884.62,0,7,0,2,$351494.00,80.4
2708054,Middle Market,14,0.72,5.08,5766.67,0,4,1,6,$86500.00,73.8
2802001,Middle Market,14,0.68,66.72,2621.43,0,0,6,8,$84164.00,57
2502051,Middle Market Stressed,14,0.56,0.37,370.59,0,16,2,8,$52450.00,64.9
1513001,Distressed,14,0.84,26.1,11100,0,4,4,3,$35875.00,43.8
2706006,Middle Market Choice,14,0.35,246.65,2944.44,0,11,0,6,$149000.00,82.3
2804031,Middle Market Stressed,14,0.55,0,11350,0,0,1,5,$61500.00,41.2
2505001,Middle Market Stressed,14,0.75,6.32,8328.57,0,5,2,2,$45000.00,35.6
908002,Distressed,14,0.51,2.13,4700,0,1,7,4,$24500.00,56.8
2717006,Distressed,14,1.12,1.95,3700,0,8,20,6,$19063.00,45.6
2804034,Middle Market Choice,14,0.4,11.04,2163.64,0,7,0,5,$199950.00,72.1
2003002,Distressed,14,1.08,0.57,4400,0,8,23,4,$9250.00,24.2
1903002,Distressed,14,1.19,15.62,6800,0,21,25,10,$32500.00,19.4
1511007,Middle Market,14,0.57,5.59,4128.57,0,4,1,5,$70819.00,48.6
2720012,Middle Market Choice,14,0.42,5.83,5911.11,1,1,1,4,$154250.00,44.5
1507023,Middle Market Stressed,14,0.53,15.41,3500,0,10,8,7,$52000.00,55.2
2715013,Regional Choice,13,0.48,87.89,1229.17,0,9,0,1,$424000.00,70.8
905003,Middle Market Stressed,13,0.7,1.95,5140,0,4,2,7,$50000.00,49.4
1401003,Regional Choice,13,0.36,31.98,14540,2,5,0,2,$399000.00,25
2803021,Middle Market,13,0.57,0,5345.45,0,3,2,5,$100000.00,34.2
2804011,Middle Market Choice,13,0.5,52.47,1326.67,0,11,1,5,$160000.00,46.5
2501011,Middle Market,13,0.47,179.85,6255.56,0,14,0,5,$85708.00,34.9
2702002,Middle Market Choice,13,0.43,21.92,1433.33,0,17,1,4,$135000.00,69
2720022,Regional Choice,13,0.47,72.29,2654.55,1,1,0,2,$240000.00,67.3
2719001,Regional Choice,13,0.47,0,2020,1,9,0,3,$265000.00,77.7
804004,Distressed,13,0.46,25.89,3250,0,17,18,4,$15000.00,41.4
807002,Distressed,13,0.74,7.21,2100,0,26,41,1,$8144.00,39.8
1507013,Middle Market,13,0.47,0,7033.33,0,1,2,6,$98000.00,68.6
2605012,Middle Market Choice,13,0.34,0,1483.33,0,6,0,4,$114750.00,80.9
2802003,Middle Market Choice,13,0.42,0,2614.29,0,11,0,4,$141488.00,80.6
1403003,Middle Market Stressed,13,0.62,26.53,12733.33,3,6,17,11,$56666.00,18.3
1607001,Distressed,13,0.87,0,3960,0,5,7,6,$23500.00,63.1
1308031,Middle Market Choice,13,0.25,0,1384.62,0,19,0,2,$172500.00,59.9
1502003,Distressed,13,0.67,8.7,2500,3,43,13,3,$27000.00,46.2
2603025,Middle Market,13,0.36,608.55,10180,0,0,0,8,$97000.00,51
2802005,Middle Market,13,0.6,0,2781.82,0,6,1,10,$81500.00,62.2
2804013,Middle Market Choice,12,0.38,19.07,5225,0,2,0,4,$156000.00,42.3
2720023,Middle Market Choice,12,0.5,10.68,4636.36,1,3,0,2,$167500.00,61.7
2503032,Middle Market,12,0.33,19.6,8200,0,1,1,6,$88603.00,76
2707022,Middle Market Choice,12,0.49,5.5,2023.53,0,4,0,4,$170000.00,57.6
908004,Distressed,12,1.21,596.45,5125,0,5,18,3,$22250.00,53.6
2717004,Middle Market Stressed,12,0.82,141.42,6283.33,0,4,1,2,$52350.00,62.5
901002,Middle Market,12,0.46,0,5520,0,1,0,4,$88500.00,88.5
2803022,Middle Market Stressed,12,0.81,0,1848,1,20,1,9,$53500.00,40.2
2717003,Middle Market Choice,12,0.59,0,2450,1,5,1,3,$111000.00,86.8
1201003,Regional Choice,12,0.55,4.29,10166.67,0,5,0,1,$401950.00,47.3
903002,Middle Market Choice,12,0.43,26.77,5560,0,3,1,4,$118450.00,30.1
1301003,Middle Market Stressed,12,0.82,26.78,9100,1,9,6,12,$62708.00,23
907004,Distressed,12,0.6,0,8300,0,7,3,4,$32525.00,59
2715014,Regional Choice,12,0.34,0,1712,1,4,0,1,$347450.00,86.2
803012,Distressed,12,0.94,5.03,8600,0,3,20,6,$15600.00,51.5
1703001,Distressed,12,1.11,50.01,8600,0,35,26,6,$19750.00,13.5
806001,Distressed,12,0.73,5827.88,7400,0,20,31,2,$8250.00,42.1
806003,Distressed,12,0.49,0,8400,0,8,30,3,$15150.00,42.9
1102002,Regional Choice,12,0.46,0.48,18620,1,0,1,2,$177000.00,8.7
1701001,Middle Market,12,0.64,1.39,6585.71,0,7,0,5,$82250.00,18.3
1703002,Middle Market Choice,12,0.58,1091.74,8733.33,0,16,14,3,$129000.00,36.8
2709033,Middle Market,12,0.49,27.06,6816.67,0,0,1,5,$72750.00,46.4
803024,Middle Market,12,0.46,3768.31,9280,0,1,1,3,$77300.00,54.5
1605004,Middle Market Stressed,12,0.75,15.07,6100,0,0,5,5,$44650.00,74.9
2719002,Middle Market Choice,12,0.61,0,2550,0,14,1,7,$114750.00,73.5
1510006,Middle Market Stressed,11,0.87,250.78,2130,0,15,9,8,$57750.00,54
2001001,Distressed,11,0.43,0,3675,0,3,17,5,$18000.00,44.7
1004001,Distressed,11,0.88,35.78,8433.33,0,37,41,0,$15000.00,6.9
2716001,Distressed,11,0.92,286.09,5000,0,3,1,7,$32000.00,37.4
2714003,Regional Choice,11,0.29,9.55,1530,1,3,0,2,$640000.00,72.3
1903001,Distressed,11,1.12,1.89,6000,1,5,18,10,$22000.00,35
1901004,Distressed,11,0.95,32.85,4700,0,43,23,10,$31146.00,22.5
2801021,Middle Market,11,0.58,0.96,587.01,0,8,1,5,$80000.00,46.9
1303001,Middle Market,11,0.71,4.51,10400,0,9,5,8,$82950.00,39.3
2505003,Distressed,11,1.25,3.21,260.2,0,22,2,5,$33713.00,53.3
2802006,Middle Market,11,0.52,6.75,2158.33,0,5,2,7,$95000.00,62.8
1513005,Distressed,11,0.85,2.06,3133.33,0,11,17,5,$21000.00,31.8
2804015,Middle Market,11,0.56,0,6375,0,3,0,3,$65625.00,60.6
2710013,Distressed,11,0.87,9.3,8100,0,6,5,9,$35500.00,18.8
806005,Distressed,11,0.94,0,7150,0,9,35,4,$10000.00,34
1510001,Middle Market Stressed,11,0.71,0,4150,0,11,1,9,$42000.00,47.1
802004,Distressed,11,0.55,2.21,3325,0,33,31,7,$14800.00,27.5
803022,Distressed,11,0.67,0,3585.71,0,1,3,6,$19210.00,65.4
1205001,Distressed,11,0.94,5.04,4900,2,30,25,7,$40000.00,16.9
2301001,Middle Market,11,0.64,2.6,6800,2,17,2,5,$97250.00,26.2
802003,Distressed,10,0.86,2.53,3300,0,22,44,3,$6193.00,33.4
2703013,Middle Market,10,0.49,0,2054.55,0,10,1,8,$107750.00,79.5
2001002,Distressed,10,1.1,0,6150,0,11,23,3,$16450.00,30.2
1001002,Distressed,10,1,3.28,4400,1,20,19,2,$15750.00,63.3
806004,Distressed,10,0.85,0,6850,0,13,30,3,$9750.00,42.9
1604001,Distressed,10,1.32,3.18,3300,0,5,24,3,$15984.00,43.2
1501001,Distressed,10,1.19,11165.07,6966.67,0,21,19,5,$15625.00,30.7
806002,Distressed,10,1.04,5.15,5650,0,8,31,2,$13500.00,44.3
2704023,Middle Market,10,0.7,2.79,2430,0,1,0,5,$75439.00,68.5
2002005,Distressed,10,1.08,3.86,1040,0,7,13,4,$25600.00,61
909003,Distressed,10,0.71,3121.89,7200,0,22,30,5,$14000.00,38.5
2705021,Middle Market Choice,10,0.58,5.74,3746.67,0,5,0,6,$112750.00,42.8
2710022,Middle Market Stressed,10,0.43,13.36,9433.33,0,5,1,9,$38300.00,65.3
901004,Middle Market Stressed,10,0.78,16.33,8325,1,12,3,2,$47038.00,36.3
2802004,Middle Market,10,0.71,11.61,2164.29,0,5,1,4,$65275.00,75.6
1605002,Middle Market Stressed,10,0.66,6.47,4400,0,1,7,6,$47500.00,57.4
1001001,Distressed,10,0.85,26.3,4533.33,0,11,25,3,$41229.00,47
1608011,Middle Market,10,0.35,0,10300,0,0,0,5,$90500.00,41.8
1608013,Distressed,10,0.67,0,8233.33,0,0,1,5,$37000.00,75.4
2605014,Middle Market,10,0.45,0.94,441.3,0,12,0,2,$92068.00,74.1
2711011,Regional Choice,10,0.23,0.35,2216.67,0,2,0,2,$243500.00,35.3
1601004,Distressed,10,1.52,11.44,5760,0,20,23,5,$20850.00,27.8
1403001,Middle Market Stressed,10,1.17,1.83,9233.33,3,8,25,9,$45050.00,15.9
2711012,Middle Market Choice,10,0.4,2.66,3630,0,5,1,3,$157500.00,56.7
2804021,Middle Market,10,0.57,8.58,2966.67,0,17,2,5,$89850.00,76.5
1506005,Distressed,10,0.94,1.95,2871.43,1,20,12,8,$27450.00,38.8
1504005,Distressed,10,0.82,0,6550,0,5,28,5,$37167.00,37.3
2606054,Middle Market,10,0.49,176.19,1692.86,0,14,0,4,$72500.00,69.1
1512002,Distressed,10,1.3,0,2350,0,16,23,7,$16500.00,41.5
1601003,Distressed,9,0.73,12.8,9725,1,8,32,5,$24900.00,22.2
1605001,Distressed,9,0.72,8.82,2800,0,7,2,3,$38750.00,43.6
908003,Distressed,9,0.6,1.8,3025,0,20,25,3,$17500.00,38
2708024,Middle Market Choice,9,0.34,256.1,5400,0,0,0,5,$150000.00,31.1
802005,Distressed,9,0.99,1.96,1200,0,35,19,2,$5199.00,54.9
1511005,Middle Market Choice,9,0.6,481.46,3028.57,0,2,1,10,$149900.00,76.3
1511004,Middle Market Choice,9,0.52,21.83,2872.73,0,3,1,2,$150000.00,84.6
1403005,Distressed,9,1.43,3.75,3925,7,45,17,4,$17000.00,33.6
2711021,Regional Choice,9,0.43,2.9,2016.13,3,6,0,0,$670000.00,26.9
2708053,Middle Market,9,0.84,21.11,5466.67,0,1,1,4,$70000.00,26.2
2502055,Middle Market Stressed,9,0.34,11.47,7837.5,0,22,0,4,$50500.00,12.6
1401002,Regional Choice,9,0.38,6.8,7271.43,2,5,1,1,$299000.00,19.7
1504003,Distressed,9,0.91,9601.83,4625,1,2,16,5,$27000.00,42.8
2716002,Middle Market Stressed,9,0.71,0,7950,0,6,1,5,$40565.00,24
1802002,Middle Market Stressed,9,1.08,6.66,11950,0,32,18,9,$65000.00,27.8
1602001,Distressed,9,1.17,227.19,7925,0,4,13,4,$24000.00,75
1513006,Distressed,9,0.49,2.53,3150,0,15,19,5,$25000.00,43.3
2003001,Distressed,8,0.61,4.32,6150,0,22,25,4,$13950.00,23
1201002,Regional Choice,8,0.57,4.72,8757.14,0,4,0,1,$430000.00,25.5
1508003,Middle Market Stressed,8,0.6,8.66,4180,1,10,10,12,$70000.00,39.4
1205002,Distressed,8,1.32,3.98,2687.5,2,16,17,2,$23750.00,21.8
1511001,Middle Market,8,0.6,7.58,5433.33,0,4,1,4,$93808.00,56.8
2720014,Middle Market,8,0.51,3.52,8686.67,10,5,0,4,$107500.00,25.4
2719005,Middle Market,8,0.71,3.39,3962.5,0,4,0,3,$94460.00,67.7
1508001,Middle Market,8,1.14,222.89,6633.33,0,0,3,13,$82250.00,42
2716005,Distressed,8,0.65,13.58,3220,0,6,9,9,$34448.00,60.6
2718021,Distressed,8,1.26,2.16,4475,0,8,20,9,$14500.00,37.7
2702003,Middle Market Choice,8,0.56,6.51,2400,0,6,0,5,$175000.00,71.2
2802002,Middle Market,8,0.55,0,569.44,0,2,0,6,$81450.00,78.8
1204003,Middle Market Choice,8,0.81,0,10800,8,17,26,4,$150217.00,30
906001,Distressed,8,0.94,33.19,4920,0,0,7,8,$35795.00,56.7
2709011,Middle Market Choice,8,0.39,2.47,7411.11,0,0,0,3,$119900.00,56
905001,Distressed,8,1.1,3.73,1575,0,13,3,5,$21800.00,46
804003,Distressed,8,1.26,0,8000,0,4,48,3,$14850.00,13.7
2801014,Middle Market,8,0.66,0.91,1790,0,5,3,4,$69250.00,78.8
2706005,Middle Market Choice,8,0.35,0,3600,0,4,0,4,$115750.00,88.2
1401005,Regional Choice,8,0.42,7.42,13000,0,6,0,3,$217500.00,24.1
1512004,Distressed,8,0.64,974.43,3760,0,22,19,7,$30250.00,42.4
2720035,Regional Choice,8,0.29,468.41,2990.91,1,3,0,0,$278250.00,54
804001,Distressed,7,0.47,0,5600,1,3,40,4,$10000.00,39.4
1506006,Distressed,7,1.25,5.02,1184.62,0,21,21,4,$16501.00,44.3
1507011,Middle Market,7,0.58,131.13,896.67,0,10,2,8,$84900.00,49.3
1508005,Middle Market Stressed,7,0.83,80.95,5566.67,1,10,6,8,$55000.00,31.1
1508006,Middle Market Stressed,7,0.57,377.26,3516.67,0,9,7,11,$67528.00,31.2
1508007,Distressed,7,1.71,21.33,4487.5,1,13,12,10,$17500.00,26.2
1510005,Middle Market Choice,7,0.63,226.03,3450,1,5,10,13,$140000.00,37.8
1510008,Middle Market Stressed,7,0.7,35.74,3128.57,0,13,5,11,$50000.00,35.7
1601001,Distressed,7,1.13,5.69,2000,0,31,33,3,$15500.00,49.6
1604004,Distressed,7,1.51,0,5500,0,12,45,2,$10000.00,37.8
1304002,Middle Market Stressed,7,0.69,0,9100,1,7,10,9,$55000.00,20.1
2004001,Distressed,7,1.29,178.29,10200,0,9,37,4,$10000.00,25.8
2004003,Distressed,7,0.54,17.14,7450,0,3,30,2,$21000.00,29.3
1002002,Middle Market Stressed,7,0.37,9,3180,1,1,0,5,$44000.00,80.5
2502032,Middle Market Stressed,7,0.62,4.37,6828.57,0,1,7,5,$64335.00,33.2
909001,Distressed,7,0.82,3.82,7400,0,15,10,2,$27250.00,46.8
2504022,Middle Market,7,0.64,0,1500,6,6,21,3,$82000.00,12.7
2804035,Regional Choice,7,0.46,20.85,1613.33,0,4,1,5,$332000.00,53.3
2606042,Middle Market,7,0.35,353.51,3480,0,12,1,5,$68380.00,35.6
704003,Distressed,7,0.61,2.1,7400,1,9,21,2,$30000.00,12.7
2708041,Regional Choice,7,0.29,0,7187.5,0,14,0,2,$182780.00,21.6
2718024,Distressed,7,0.82,3.01,4800,0,4,9,6,$27000.00,45.6
2720013,Middle Market Choice,7,0.36,10.34,3978.57,0,2,0,4,$131000.00,56.2
2720021,Regional Choice,7,0.24,30.15,6626.32,0,2,0,1,$285000.00,40
2803013,Regional Choice,7,0.22,18.62,3306.82,2,23,1,4,$240000.00,7.6
1501003,Distressed,7,0.89,9.15,20328.57,1,20,14,3,$22000.00,25
1001003,Distressed,6,0.93,10.73,4960,3,16,23,4,$33989.00,50.1
1603003,Distressed,6,0.95,0,2300,0,29,40,7,$26000.00,30.7
1204004,Distressed,6,1.06,21.26,2625,0,35,33,8,$32979.00,29.5
1304001,Distressed,6,0.95,22.38,204.95,2,2,11,5,$36500.00,40.3
1102003,Regional Choice,6,1.02,0.7,17314.29,1,1,0,2,$218500.00,6.6
1607005,Middle Market Stressed,6,0.68,45,5833.33,0,5,10,6,$48500.00,65
2501034,Middle Market Choice,6,0.21,6.6,1191.89,0,8,0,3,$137450.00,40.3
2720031,Regional Choice,6,0.2,10.4,3758.33,1,2,0,1,$236475.00,46.9
2502031,Middle Market Stressed,6,0.67,6.27,1028.13,0,1,1,2,$59500.00,36.9
2715015,Regional Choice,6,0.31,0,3772.73,16,29,0,1,$371500.00,19.7
1206002,Middle Market,6,0.87,1.02,4111.11,1,4,0,10,$88000.00,17.4
2801012,Middle Market,6,0.35,0.47,1752.78,0,25,0,5,$97100.00,26.2
1510004,Middle Market Stressed,6,0.8,8.88,3440,0,9,8,11,$52500.00,33
301003,Middle Market Choice,6,0.47,4.19,12670,1,16,4,3,$137000.00,4.7
2708022,Middle Market Choice,6,0.49,10.89,8620,0,0,0,2,$130500.00,27.2
1204002,Middle Market Stressed,6,1.15,104.57,6300,6,28,14,7,$62450.00,16.5
1601002,Distressed,6,0.91,2912.55,8200,0,21,20,8,$10000.00,21.7
802001,Distressed,6,0.53,0.68,884.21,0,26,11,4,$37250.00,55.3
1602003,Distressed,6,0.56,0,4733.33,0,18,44,5,$10625.00,14.8
1602004,Distressed,6,0.64,0,3666.67,0,32,33,5,$15950.00,11.7
2604022,Middle Market,6,0.79,0.49,1348.48,0,7,0,7,$110438.00,22.2
1603001,Distressed,6,1.15,4.95,4400,1,31,18,3,$14750.00,36.6
2708013,Middle Market Choice,6,0.24,6.85,4987.5,0,2,0,6,$163950.00,52.3
1603002,Distressed,5,1.27,0,4900,0,50,27,14,$21000.00,14.3
1402003,Distressed,5,1.21,1.94,2350,1,23,30,4,$20000.00,39.3
804002,Distressed,5,0.65,0,2800,0,34,30,3,$22000.00,32.1
2606043,Middle Market Stressed,5,0.53,0,500,0,5,0,3,$49000.00,51.5
2606041,Middle Market,5,0.27,0,966.67,0,1,1,10,$72000.00,72.4
1511006,Middle Market Choice,5,0.26,64.44,2833.33,0,1,2,11,$145000.00,61.3
1602002,Distressed,5,0.78,20.66,6550,1,26,28,7,$42721.00,14
2803012,Middle Market,5,0.83,1.19,1400,0,58,0,6,$95000.00,27
904002,Distressed,5,0.36,2.14,13166.67,1,17,25,3,$20000.00,5
2601013,Middle Market Choice,5,0.22,14.98,5875,0,16,0,5,$115000.00,16.4
1302003,Middle Market,5,0.55,6.91,9100,0,6,7,13,$102000.00,28
1702001,Distressed,5,1.13,4.37,6620,1,15,17,3,$20000.00,15.9
2720032,Regional Choice,5,0.1,54.23,5041.67,3,5,0,2,$245000.00,22.4
2708023,Middle Market Choice,5,0.21,1.55,2925,0,2,0,4,$135000.00,43.8
1901002,Distressed,5,0.52,3.51,6800,0,16,9,8,$25000.00,27.6
909005,Distressed,5,0.68,3.12,1006.67,1,41,26,6,$7973.00,20.3
2715012,Regional Choice,5,0.64,3.94,866.67,0,4,0,2,$299000.00,78.7
1505002,Middle Market Stressed,5,0.71,0.52,1611.76,0,10,0,4,$42900.00,69.4
2004002,Distressed,5,1.38,21.18,2216.67,0,23,30,7,$9000.00,18.7
1101002,Regional Choice,5,0.13,1.1,13542.86,1,4,0,2,$230375.00,6.2
2708042,Middle Market Choice,5,0.38,20.25,6600,1,2,0,4,$150000.00,38.4
1206001,Regional Choice,5,0.46,2.06,14825,0,0,1,4,$195000.00,16.3
1202003,< 5 Sales; MultiFamily (>65% of Housing Units),4,0.36,15.71,20425,0,1,0,2,$245500.00,9.5
1403004,< 5 Residential Sales (2009-2010),4,0.77,3.54,3000,0,37,18,2,$13865.00,42.5
302002,< 5 Residential Sales (2009-2010),4,0.64,3.54,4360,1,11,0,5,$241500.00,45
1901003,< 5 Residential Sales (2009-2010),4,1.49,2.75,7600,0,34,18,1,$14250.00,17.2
2718014,< 5 Residential Sales (2009-2010),4,0.31,2343.58,11200,0,0,1,5,$97250.00,77.1
1510003,< 5 Residential Sales (2009-2010),4,0.75,4.71,2614.29,0,3,6,6,$97500.00,47.9
1801002,< 5 Sales; MultiFamily (>65% of Housing Units),4,0.49,9.35,8083.33,3,59,12,3,$32724.00,6.2
1802001,< 5 Residential Sales (2009-2010),4,1.22,3.24,2357.14,1,52,15,5,$9005.00,19.1
2502072,< 5 Residential Sales (2009-2010),4,0.88,5.66,2411.11,0,6,1,3,$54250.00,56.4
1901001,< 5 Residential Sales (2009-2010),4,1.29,3.92,3000,0,25,26,3,$15250.00,42.2
1301002,< 5 Sales; MultiFamily (>65% of Housing Units),4,0.61,0,22950,3,18,22,20,$53750.00,11.1
301001,< 5 Residential Sales (2009-2010),4,0.54,7.59,6175,0,20,0,3,$103188.00,31.9
1302004,< 5 Residential Sales (2009-2010),4,0.48,0,9400,1,10,23,8,$101500.00,19.3
1508002,< 5 Residential Sales (2009-2010),4,0.58,62.2,3540,0,3,8,9,$87500.00,35
2717007,< 5 Residential Sales (2009-2010),4,0.45,27.21,1188,0,5,4,3,$32550.00,64.8
604003,< 5 Residential Sales (2009-2010),4,0.14,0.28,2355.56,0,5,0,3,$145930.00,47.1
1801001,< 5 Residential Sales (2009-2010),3,0.05,3.53,4771.43,0,7,0,5,$111000.00,23
